Features,Importance
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,0.02
BURO_DAYS_CREDIT_UPDATE_MEAN,0.02
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.02
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,0.02
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.02
PREV_PRODUCT_COMBINATION_Cash Street: middle_MEAN,0.02
PREV_DAYS_DECISION_MEAN,0.02
PREV_CHANNEL_TYPE_Stone_MEAN,0.02
PREV_APP_CREDIT_PERC_MEAN,0.02
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0.02
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.02
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.02
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.02
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,0.02
BURO_CREDIT_TYPE_Car loan_MEAN,0.02
OCCUPATION_TYPE_Drivers,0.02
NAME_CONTRACT_TYPE_Cash loans,0.02
CNT_CHILDREN,0.02
DAYS_REGISTRATION,0.02
REG_CITY_NOT_LIVE_CITY,0.02
INSTAL_DAYS_ENTRY_PAYMENT_SUM,0.02
"WALLSMATERIAL_MODE_Stone, brick",0.01
NAME_INCOME_TYPE_Commercial associate,0.01
PREV_HOUR_APPR_PROCESS_START_MIN,0.01
FLAG_DOCUMENT_8,0.01
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,0.01
PREV_DAYS_DECISION_MAX,0.01
PREV_PRODUCT_COMBINATION_Cash X-Sell: low_MEAN,0.01
OCCUPATION_TYPE_Sales staff,0.01
FLAG_DOCUMENT_16,0.01
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.01
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.01
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.01
AMT_REQ_CREDIT_BUREAU_MON,0.01
FONDKAPREMONT_MODE_reg oper account,0.01
OCCUPATION_TYPE_Core staff,0.01
PREV_APP_CREDIT_PERC_VAR,0.01
BURO_DAYS_CREDIT_MAX,0.01
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,0.01
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.01
PREV_NAME_TYPE_SUITE_Family_MEAN,0.01
OCCUPATION_TYPE_Accountants,0.01
PREV_NAME_TYPE_SUITE_nan_MEAN,0.01
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.01
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,0.01
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,0.01
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,0.01
NAME_HOUSING_TYPE_House / apartment,0.01
NAME_FAMILY_STATUS_Widow,0.01
PREV_AMT_GOODS_PRICE_MIN,0.01
ORGANIZATION_TYPE_Construction,0.01
NAME_FAMILY_STATUS_Single / not married,0.01
INSTAL_DPD_MEAN,0.01
FLAG_EMP_PHONE,0.01
ORGANIZATION_TYPE_Security Ministries,0.01
BURO_CREDIT_TYPE_Microloan_MEAN,0.01
INSTAL_PAYMENT_RESTANT_VAR,0.01
ORGANIZATION_TYPE_School,0.01
ACTIVE_DAYS_CREDIT_MIN,0.01
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.01
ORGANIZATION_TYPE_Trade: type 7,0.01
BURO_AMT_CREDIT_SUM_MAX,0.01
CLOSED_AMT_CREDIT_SUM_MAX,0.01
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.01
PREV_AMT_APPLICATION_MIN,0.01
AMT_CREDIT,0.01
PREV_APP_CREDIT_PERC_MIN,0.01
BURO_DAYS_CREDIT_ENDDATE_MIN,0.01
FONDKAPREMONT_MODE_reg oper spec account,0.01
INSTAL_PAYMENT_RESTANT_SUM,0.01
INSTAL_AMT_INSTALMENT_MEAN,0.0
HOUSETYPE_MODE_block of flats,0.0
PREV_CHANNEL_TYPE_Regional / Local_MEAN,0.0
NAME_FAMILY_STATUS_Civil marriage,0.0
PREV_CHANNEL_TYPE_Contact center_MEAN,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
WALLSMATERIAL_MODE_Monolithic,0.0
REG_CITY_NOT_WORK_CITY,0.0
NAME_INCOME_TYPE_State servant,0.0
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,0.0
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,0.0
NAME_TYPE_SUITE_Family,0.0
HOUR_APPR_PROCESS_START,0.0
REG_REGION_NOT_WORK_REGION,0.0
FLAG_DOCUMENT_18,0.0
INSTAL_DPD_SUM,0.0
FLAG_DOCUMENT_15,0.0
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_13,0.0
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.0
POS_SK_DPD_DEF_MAX,0.0
NAME_TYPE_SUITE_Unaccompanied,0.0
FONDKAPREMONT_MODE_org spec account,0.0
PREV_NAME_GOODS_CATEGORY_Medical Supplies_MEAN,0.0
ORGANIZATION_TYPE_Restaurant,0.0
PREV_AMT_DOWN_PAYMENT_MIN,0.0
ORGANIZATION_TYPE_Industry: type 3,0.0
ORGANIZATION_TYPE_Medicine,0.0
PREV_AMT_APPLICATION_MEAN,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Police,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.0
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.0
ORGANIZATION_TYPE_Government,0.0
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.0
ORGANIZATION_TYPE_Security,0.0
BURO_CREDIT_ACTIVE_Sold_MEAN,0.0
ORGANIZATION_TYPE_Trade: type 3,0.0
ORGANIZATION_TYPE_Transport: type 3,0.0
BURO_DAYS_CREDIT_ENDDATE_MAX,0.0
ORGANIZATION_TYPE_University,0.0
PREV_AMT_DOWN_PAYMENT_MAX,0.0
PREV_RATE_DOWN_PAYMENT_MIN,0.0
NAME_HOUSING_TYPE_Rented apartment,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,0.0
NAME_HOUSING_TYPE_With parents,0.0
PREV_NAME_TYPE_SUITE_Children_MEAN,0.0
PREV_CODE_REJECT_REASON_SCO_MEAN,0.0
OCCUPATION_TYPE_Cooking staff,0.0
WALLSMATERIAL_MODE_Wooden,0.0
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,0.0
ORGANIZATION_TYPE_Bank,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0.0
OCCUPATION_TYPE_Low-skill Laborers,0.0
OCCUPATION_TYPE_Managers,0.0
OCCUPATION_TYPE_Security staff,0.0
OCCUPATION_TYPE_Waiters/barmen staff,0.0
ORGANIZATION_TYPE_Agriculture,0.0
OCCUPATION_TYPE_Cleaning staff,0.0
